SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://flv.ccdntech.com/vod/_definst_/mp4:vod160/Unimicron/202907291.mp4/playlist.m3u8
VIDEO TITLE: replay
CALL DATE: 07-29-2026
QUARTER: Q2 FY2026
# source label: Unimicron Q2 FY2026 (07-29-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2697   characters: 17,480

---
[00:00] 時間會出我想
[54:47] 然後以及
[54:48] 它出來的時間底
[54:49] 好
[54:50] 如果我們把它分成是
[54:52] 新的
[54:53] 新的案
[54:54] 案的話
[54:55] 它就在進行當中
[54:56] 這五個之間的
[54:57] 投資啦
[54:58] 預算啦
[54:59] 通過這個網串
[55:00] 那如果是先進的產能呢
[55:01] 就是快速打開
[55:02] 就變成一個太多問題
[55:03] 但是有些
[55:04] Legacy的工廠
[55:05] Legacy的
[55:06] ADF的工廠
[55:07] 其實有部分
[55:08] 它的
[55:09] 和CF的
[55:10] 環境允許的情況下
[55:11] 我們正在做
[55:12] Ritual V
[55:13] 比如說
[55:14] 我們可以提升
[55:15] 它的一個
[55:16] 能力到
[55:17] 比較高的規格
[55:18] 但是比如說
[55:19] 它是在一個
[55:20] Level 2
[55:21] 它可能
[55:22] 有辦法進入到
[55:23] Level 1
[55:24] 但是它可能在
[55:25] Level 1.5
[55:26] 但是我們可以
[55:27] 持續客戶
[55:28] 解決很多
[55:29] 產能不足的問題
[55:30] 我們已經在
[55:31] 做這一塊
[55:32] 那這種Ritual V的
[55:33] 廠房
[55:34] 它的這個
[55:35] 改良改造
[55:36] 很多
[55:37] 比我們建置的
[55:38] 新廠房
[55:39] 很多
[55:40] 那這個部分
[55:41] 其實
[55:42] 陸陸續續
[55:43] 可能在
[55:44] 我們的
[55:45] 不管是
[55:46] 營業的
[55:47] 或裡面
[55:48] 也會展現出來
[55:49] 因為這就是為什麼
[55:50] 產品
[55:51] 會一直在優化
[55:52] 這當然是
[55:53] 因為我們的
[55:54] 產能的品質
[55:55] 也在不斷的
[55:56] 機身的改變
[55:57] 是低的
[55:58] 那如果說
[55:59] 在
[56:00] 另外比較不一樣
[56:01] 就是我們的
[56:02] BT的廠房
[56:03] 那我們剛剛有說
[56:04] 我們去時候
[56:05] 這個ADF
[56:06] 這個
[56:07] 這個
[56:08] 這個進度
[56:09] 會是
[56:10] 多快
[56:11] 如果是
[56:12] 像這種
[56:13] 這種Ritual V的
[56:14] 工廠的話
[56:15] 大概我是覺得
[56:16] 一年到一年半
[56:17] 就可以開始打開
[56:18] 就不去打開
[56:19] 然後
[56:20] 就會完成
[56:21] 那如果說是
[56:22] 像這種軟性的話
[56:23] 其實
[56:24] 差不多
[56:25] 一年到一半
[56:26] 就很完成
[56:27] 跟我們要
[56:28] 蓋新廠來講
[56:29] 它就差滿多年
[56:30] 那我們BT
[56:31] 最後是
[56:32] 都不留嗎
[56:33] 我們現在
[56:34] 不做這個
[56:35] 這樣子
[56:36] 這麼激進的
[56:37] 假設是
[56:38] 因為我們還是想要
[56:39] 主要是BT
[56:40] 我們還是想
[56:41] 協助我們客戶
[56:42] 能夠
[56:43] 就是比較安心的
[56:44] 下扯
[56:45] 那另外一個就是
[56:46] 我們也知道
[56:47] 現在在
[56:48] BT的部分
[56:49] 像Memory的部分
[56:50] 有些Memory的
[56:51] Controller
[56:52] 這個分析
[56:53] 它的這個需求
[56:54] 還是很強的
[56:55] 那
[56:56] 它的貨列部分
[56:57] 現在是
[56:58] 跟A1的表現
[56:59] 是
[57:00] 很類似的
[57:01] 所以像這一塊
[57:02] 其實
[57:03] 那我們也能夠
[57:04] 去佛化這些設備
[57:05] 那我們有很好的
[57:06] 才能表現
[57:07] 這一塊
[57:08] 我們就會先
[57:09] 就先存金
[57:10] 我們就把它留下來
[57:11] 那如果對於一些
[57:12] 比較不是那麼理想的
[57:13] 太電子性
[57:14] 消費產品的
[57:15] 甚至一些模法
[57:17] 要往一些
[57:18] 更輕薄的軟小
[57:19] 需要再重塑
[57:20] 更多的研發資源
[57:21] 然後要
[57:22] 重新再
[57:23] Occurrent
[57:24] 我們的設備部分
[57:25] 這一塊
[57:26] 我們就會
[57:27] 原則上
[57:28] 現在就會停看這個
[57:29] 最後一個問題
[57:30] 最後一個問題
[57:31] 就是
[57:32] 都沒有提到就是
[57:33] 我們 AI PCB 版
[57:35] 還有 HDi 光火塊這邊的
[57:37] 一個未來的規劃
[57:39] 就是這部分的話
[57:40] 我們是
[57:41] 會比較
[57:42] 就是不太主動
[57:44] 才去投
[57:45] 還是說我們也是
[57:46] 會幫它安排
[57:47] 一定的擴張
[57:49] 去符合
[57:50] 就是客戶需求增長
[57:51] 因為
[57:52] 這一塊
[57:53] 雖然要獲利
[57:54] 沒有那麼高
[57:55] 但是
[57:56] 客戶的需求
[57:57] 也是很一切的
[57:58] 然後並且
[57:59] 很多客戶
[58:00] 是有所重複的
[58:03] 在我們策略客戶的
[58:05] 部分
[58:06] 你確認他們對於
[58:07] 載感跟 PC 版
[58:09] 都是有需求
[58:10] 我們蠻多共同的客戶
[58:11] 那如果是策略客戶的話
[58:13] 我們其實
[58:14] 在 PCB 這塊的定價
[58:16] 大家也都知道說
[58:17] 其實在
[58:18] 在中國那邊
[58:19] 有蠻多的 PC 版廠
[58:21] 那他們的貨產
[58:22] 都是非常的
[58:23] 這個
[58:24] 激進的
[58:25] 然後也非常的
[58:26] 就是
[58:27] 他們願意
[58:28] 用很快速的時間
[58:30] 用他們自己重複的資金
[58:32] 來做這些產品
[58:33] 獲充
[58:34] 跟我們
[58:35] 台灣的做法
[58:36] 是比較不一樣的
[58:37] 所以其實在這一塊來講
[58:38] 我們會
[58:39] 我們蠻確定
[58:40] 就是我們會直接
[58:42] 針對這一塊
[58:43] 做直接的競爭
[58:44] 我們會
[58:45] 在 All of China 的部分
[58:48] 去配合
[58:49] 我們策略客戶的需求
[58:51] 在這一塊
[58:52] 做盡量的全面買
[58:54] 所以也就是說
[58:55] 我們會避開
[58:56] 在中國內捲的那一塊
[58:57] 我們並不會去追求
[58:58] 產能的極大
[58:59] 我們要在產能上面
[59:00] 成為 PC 、DHDI 的
[59:02] Number 1
[59:03] 我們不追求
[59:04] 那樣子的 revenue
[59:05] 因為我們覺得
[59:06] 這一塊
[59:07] 對我們客戶
[59:08] 創造的價值
[59:09] 不是最大的
[59:10] 我們會希望保留
[59:11] All of China 的部分
[59:12] 那在這一塊
[59:13] 我們就配合客戶的策略
[59:14] 因為客戶他會有個配合
[59:16] 客戶他怎麼會有
[59:17] 多少的比例
[59:18] 他必須要 All of China
[59:19] 然後讓他磨在
[59:20] 我們國內
[59:21] 然後我們國內
[59:22] 是一條單
[59:23] 所以我們會配合
[59:24] 客戶的策略
[59:25] 去幫助我們
[59:26] 那通常這一塊
[59:27] 也是客戶他會
[59:28] 比較願意在一些
[59:29] 未來的 R&D
[59:30] 或是先進技術上面
[59:32] 他願意揭露
[59:33] 訊息的部分
[59:34] 所以這一塊
[59:35] 是我們要專注的
[59:36] 這是第一件事情
[59:37] 在 HDI
[59:38] 我們的策略
[59:39] 會怎麼遵料
[59:40] 那第二件事情
[59:41] 就是在那個
[59:42] 光模塊的部分
[59:43] 其實這一塊
[59:44] 光模塊的
[59:45] 虛擬是非常
[59:46] 現在是非常的短缺
[59:47] 我們也在做快速的
[59:49] 利用一些
[59:50] 我們原來的
[59:51] 通常去做快速的
[59:53] Rule-Route
[59:54] 那 bring up 產能
[59:55] 我們在今年的
[59:56] 第四季就會出去開除了
[59:58] 所以大家應該可能到
[59:59] 後面看到
[60:00] 我們這個 PCB 的營收
[60:01] 跟獲利
[60:02] 會有非常顯著的不同
[60:03] 在光模塊的這個部分
[60:05] 那光模塊在
[60:07] 談到長期
[60:08] 比較中長期的
[60:09] 我們也發現就是
[60:10] 這些
[60:11] 中端的 Hyper-Scalar
[60:13] 已經開始
[60:14] 要進來整合這一塊
[60:16] 所以這一塊
[60:17] 我們還是會一樣
[60:18] 我們會跟我們的策略
[60:19] 可能自己配合
[60:22] 但是被後續的這些
[60:24] 他們的一些
[60:25] 怎麼樣去做好他們的
[60:27] 自己的
[60:28] 拆拼券
[60:29] 一些他們的
[60:30] 一些規劃
[60:31] 然後他們可能會
[60:32] 提升某一部分的比例
[60:33] 在 IoT
[60:34] 在他們的那個 COC
[60:36] 讓他們的一些風險
[60:37] 能夠降低
[60:38] 然後他們的一些
[60:39] 新的技術開發
[60:40] 或是下世代的平台
[60:41] 都能夠在他們
[60:42] 自己的供應鏈裡面
[60:43] 能夠做快速的推進
[60:45] 你好
[60:58] 我想了解一下就是
[60:59] 目前光模塊的
[61:01] 原路要一點六貼的話
[61:03] 是否只有臺灣這邊
[61:05] 像星星
[61:06] 或是整頂華通自己家
[61:08] 廠商
[61:09] 因為有這個類待感的一個產品
[61:10] 他比較能夠去做
[61:12] 那因為像中國這些廠商
[61:13] 是不是他們
[61:14] 比較沒辦法做到
[61:15] 這種比較
[61:16] 一點六貼的光模塊的製程
[61:18] 這樣子
[61:20] 一點六貼
[61:21] 其實一定要用 NGF
[61:23] 所以剛
[61:24] 就是剛才那時候
[61:25] 這幾家
[61:26] 星星店子
[61:27] 或是分頂
[61:28] 甚至是華通可能
[61:29] 也會跑來
[61:30] 進來進入這個市場
[61:32] 所以其實這塊
[61:34] 光模塊
[61:35] 後面的一些發展
[61:37] 他還是一樣
[61:38] 就是說回到我剛剛談的
[61:39] 就是我們要
[61:40] 查理你的
[61:42] 特別客戶是什麼
[61:43] 因為在現在這個階段
[61:44] 大部分
[61:45] 光模塊的需求
[61:46] 都來自一些
[61:48] 組裝客戶
[61:49] 但是在後面來講
[61:51] 這些光模塊
[61:52] 他們會要進入的這些
[61:54] data檢討
[61:55] 都會有一些
[61:56] security的保護的
[61:59] 所以
[62:02] 這就是為什麼
[62:04] Hypersphere客戶
[62:05] 他們要應報的減緩
[62:07] 有一部分的 percentage
[62:08] 它是沒有辦法
[62:10] 它是沒有辦法
[62:11] 也不 prefer
[62:12] 由中國這一塊來
[62:14] 供應的來做活
[62:21] 最近很常被問到
[62:23] 玻璃機板的發展
[62:24] 跟星星店子這邊
[62:26] 是不是比較多關聯性
[62:28] 你看那個
[62:29] coord
[62:30] 就是那個
[62:31] APF的核心層的部分
[62:32] 改成玻璃的那件事情
[62:34] 至少業界這邊
[62:36] 可能應該著墨
[62:37] 可能有兩三年的時間
[62:39] 我想教說
[62:40] 目前有沒有看到這個技術
[62:41] 它未來
[62:42] 可能發展
[62:43] 跟星星目前的狀況
[62:45] 玻璃機板
[62:46] 大家
[62:47] 其實我們上場
[62:48] 也有談過這個題目
[62:49] 就是可能2030年之前
[62:51] 是不會有這樣產業
[62:53] 那現在還是這樣
[62:54] 我覺得大家
[62:55] 都是為其這樣子的碰到
[62:57] 也許有些客戶
[62:58] 比較往前一點
[63:00] 會說2,9到3
[63:01] 但是事實上
[63:02] 如果一樣才來講
[63:03] 是一個還沒有在
[63:05] 進審的
[63:06] 比較靠近你的時程裡面
[63:07] 但的確很多客戶在看
[63:09] 怎麼樣用
[63:10] 玻璃做為coord的一個基礎
[63:12] 能夠想辦法快速的在
[63:15] 比較大的Range
[63:16] 上去做一些補貨
[63:17] 那我們跟
[63:19] 講三個客戶
[63:20] 都是有一些
[63:21] 專業在進行
[63:22] 但是每一個客戶的
[63:23] 解決的方式
[63:24] 也許會越來越不同
[63:25] 還有就是他們在
[63:26] 工力面的安排上面
[63:28] 每一個人分配到
[63:29] 分工角色
[63:30] 越來越不同
[63:31] 所以這邊可能我們
[63:32] 不知道為什麼
[63:33] 接到那麼多
[63:34] 但是玻璃基板的導入
[63:36] 量產的導入
[63:37] 我覺得在2,9,3,0之前
[63:39] 目前還滿確定是
[63:41] 看不到的
[63:42] 但是這些
[63:43] RNG的工作
[63:44] 是一直在進行
[63:45] 那玻璃基板的合作
[63:47] 比較不會是傾向於
[63:49] 有一個改版工藝商
[63:51] 就是大家就是
[63:52] 能定的造
[63:53] 自己把這點
[63:54] 有起來保存得很不錯
[63:55] 其實每一個客戶
[63:57] 因為這個工藝
[63:58] 蠻是太高的
[63:59] 所以每一個客戶
[64:00] 會用在他們想要
[64:01] 用的關鍵的產品
[64:02] 然後去
[64:03] 挑出他們最推的
[64:05] 那個
[64:06] 那個要達到的
[64:07] Performance KPI
[64:08] 然後適不去降低一些
[64:10] 可能在玻璃基板上面
[64:12] 不是那麼重要的
[64:13] 一些規格
[64:14] 來滿足他們的Performance
[64:16] 也就是說它是比較
[64:17] 客製化
[64:18] 要透過客製化
[64:19] 才有辦法
[64:20] 能夠保護
[64:21] 玻璃基板的
[64:23] 後續
[64:24] 三年之後的量產
[64:25] 不是一個
[64:26] 全流程
[64:27] 都要由載板
[64:28] 從頭到尾去研發的
[64:30] 這樣子的一個產品
[64:31] 或是突破型的技術
[64:32] 它照說
[64:33] 大家看到這個
[64:34] 玻璃基板的時候
[64:35] 或是這樣比較好處理
[64:37] 不會是一個
[64:38] 全面性的取代
[64:40] 玻璃取代的手機
[64:41] 或是說
[64:42] 它是憑這個代單場
[64:43] 自己之力
[64:44] 要開發出來
[64:45] 或是現在有遇到
[64:46] 有些工莊團
[64:47] 也想要做這個玻璃基板
[64:48] 他們自己之力
[64:49] 全部開發出來
[64:50] 它都不會是
[64:51] 這樣比較好處理
[64:52] 所以我們要解釋
[64:56] 或是跟光通去的整合
[64:58] 會有比較強的關聯性
[65:01] 為什麼要去做
[65:02] 這麼遙遠的開發
[65:03] 就是因為我聽到
[65:04] 你這次的訊息
[65:05] 有些事有些不是
[65:08] 有些事有些不是
[65:09] 因為有些它的確就是要
[65:11] 可能是跟未來的光通訊
[65:13] 或是光的一些產品
[65:15] 做結合
[65:16] 但是有一些
[65:17] 它是也是要解決
[65:18] 現在的這個
[65:19] 大的問題
[65:20] 比較大的問題
[65:22] 關於陳你好
[65:34] 想請教一下就是說
[65:35] 因為有一段時間
[65:36] 我討不到
[65:37] 就是關於太火場
[65:38] 相關的季度
[65:39] 然後我想要跟你們
[65:40] 發話一下
[65:41] 目前太火場的進度
[65:42] 有關於相關的產品規劃
[65:44] 然後即它的中央產品應用
[65:46] 即大概會有多少
[65:47] 開發的這種情況
[65:48] 謝謝
[65:49] 我剛剛說明一下
[65:51] 那個季度的話
[65:52] 可能大家會有
[65:53] 有關的工作的地方
[65:54] 但是以我們的客戶的開發
[65:57] 還有我們後續在
[65:58] 太火場的這些
[65:59] 產品策略的
[66:00] 酒杯上面來講
[66:01] 覺得上當地會說到
[66:03] 我們在DCG的定調
[66:04] 我們要澳門去開發
[66:05] 所以一個部分在台灣
[66:06] 一個部分都在泰國
[66:09] 在泰國這一塊
[66:10] 我們的規劃來講
[66:11] 就說得到我們剛剛談到的
[66:13] 就是說
[66:14] 這個HDR這個
[66:15] 這個可能就因為
[66:16] 它吃的材料比較大
[66:17] 所以最初來講
[66:18] 我們也需要
[66:19] 這樣有一個背告在
[66:20] 所以我們也希望
[66:21] 在一樣的地方
[66:23] 能夠提供
[66:24] 這樣子的等於平坦產品
[66:25] 那當然我們的
[66:26] 在不管是泰國
[66:28] 或是台灣
[66:29] 這個HDR
[66:31] 就算是我們的客戶
[66:32] 都不會是別人
[66:34] 也會改變什麼來講
[66:35] 地方都改變什麼來講
[66:37] 那客戶也可以講說
[66:38] 我們兩個地方
[66:39] 在地方的一個公職
[66:46] 幾個產品目前
[66:47] 客戶還在熱帶當中
[66:49] 那我們整體
[66:50] 在泰國的投資金額
[66:52] 大概是
[66:53] 就是
[66:54] 90到100億
[66:56] 台幣
[66:57] 這個產品大概會在
[67:02] 就是有預計
[67:03] 驗證到什麼時候
[67:04] 然後大概會在
[67:05] 什麼時候開出來
[67:06] 然後
[67:07] 這個裡面
[67:08] 泰國賞的貢獻的
[67:09] 你們說
[67:10] 會不會這樣有多少
[67:11] 會是
[67:12] 提到的NDP
[67:13] 相關的
[67:14] PCB
[67:15] 或是
[67:16] HDR
[67:19] 我們的整個
[67:20] 放量生產的話
[67:21] 我們今年的下半年
[67:23] 會開始
[67:24] 陸續放量
[67:25] 那我們在
[67:26] 我們建設這個計畫
[67:27] 我們今年下半年
[67:28] 就應該會陸續完成
[67:29] 所以真正有
[67:30] 開始保護
[67:31] 兩台就會從年開始
[67:32] 那因為我們也是
[67:33] 希望客戶他們
[67:34] 會有一個比較
[67:35] smoothly的transfer
[67:36] 所以我們會把
[67:37] 臺灣的一部分的
[67:38] 產能就會開始
[67:39] 往泰國賞陸續移送
[67:41] 因為我們臺灣這邊的一些
[67:43] 比較老舊的一些工廠
[67:45] 我們也希望藉由
[67:46] 泰國賞的保護
[67:47] 能夠給客戶
[67:48] 更好的良好表現
[67:49] 因為其實客戶的
[67:50] server HDR
[67:51] 也是每一代都在往
[67:53] 新的一個規格在進步
[67:55] 在提升
[67:56] 所以
[67:57] 因為
[67:58] 我們現在的
[67:59] 泰國賞跟臺灣目前的
[68:00] 最新的工廠比較來講
[68:01] 其實泰國賞
[68:02] 是我們現在
[68:03] PCB的HDR
[68:04] 最先進的工廠
[68:06] 就是我想問一下
[68:12] 就是
[68:13] 因為剛剛有討論到很多
[68:14] ENIPT相關的
[68:15] 那我想請教說
[68:16] DIBT
[68:18] 我理解是
[68:19] 載板層次的新業工作
[68:21] 那對你們來講的話
[68:22] 你們的這個部分
[68:23] 會是綁在ENIP裡面
[68:25] 還是對你們來說
[68:26] 是載板層次的新業工作
[68:28] 就是他會綁定
[68:29] 這些
[68:30] 可能一些
[68:31] 特定客戶
[68:32] 或是他們的
[68:33] 省無選
[68:34] 還是對你們來講
[68:35] 你們可以透過這個
[68:36] 載板層次的新業工作
[68:37] 去針對其他不同科技
[68:39] 我們這個意義的其他還是就是
[68:42] BNTEL的IP
[68:44] 所以原則上就是由中端客戶跟BNTEL他們簽訂好合約
[68:49] 拿到這個發行程之後
[68:51] 然後我們再辨認是三方之一
[68:54] 所以這樣其他的的話你就可以成分
[68:56] 假設其他中端客戶有想要用
[68:59] 載滿程式的簽名的話
[69:00] 對你們來講會有相關的機會嗎
[69:01] 還是因為後面的intel對你們來說比較困難
[69:04] 這個現代目前的問題不在這裡
[69:07] 這個問題在於MID它的產能
[69:10] 我們剛已經在談產能
[69:12] 產能它還是有一個限制
[69:14] 所以大家應該目前來講是沒有這麼大的能量
[69:17] 還想要去推銷給好幾個客戶
[69:20] 應該目前還沒有到這個階段
[69:22] 那PoE-MIDIPT他們的IP
[69:24] 到的時間是在2030年
[69:26] 所以我覺得在2030年之前
[69:28] 能夠把一個客戶
[69:29] 一個重大的專案能夠量產成功
[69:32] 我覺得2030年之後
[69:34] 會來感應什麼都還來得及
[69:37] 謝謝
[69:39] 不曉得現場的貨資先進
[69:52] 還有沒有什麼問題
[69:57] 那如果沒有的話
[69:58] 我們今天的訪說會就到這裏結束
[70:02] 謝謝各位先進的觀眾
[70:04] 大家多多參加
[70:05] 謝謝
